📡央视卫视,#genre#

辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8

深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8

广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8

广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8

东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8

海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8

河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8

河北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8

广西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8

江西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8

湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8

青海卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225794/index.m3u8


厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8

东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8

陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8

黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8

黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8

安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8

康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8

新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8

延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8

吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8

CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225870/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225872/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225924/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225932/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225934/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225976/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225984/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225987/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221226052/index.m3u8?
CCTV2,http://111.12.110.7:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV2,http://111.12.110.7:6610/PLTV/77777777/224/3221225948/index.m3u8?

CCTV3,http://111.12.110.7:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV3,http://111.12.110.7:6610/PLTV/77777777/224/3221225916/index.m3u8?
CCTV4,http://111.12.110.7:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV4,http://111.12.110.7:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV4,http://111.12.110.7:6610/PLTV/77777777/224/3221225922/index.m3u8?
CCTV5,http://111.12.110.7:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV5,http://111.12.110.7:6610/PLTV/77777777/224/3221225660/index.m3u8?
CCTV5,http://111.12.110.7:6610/PLTV/77777777/224/3221225801/index.m3u8?
CCTV5,http://111.12.110.7:6610/PLTV/77777777/224/3221225923/index.m3u8?
CCTV5,http://111.12.110.7:6610/PLTV/77777777/224/3221225925/index.m3u8?
CCTV6,http://111.12.110.7:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV6,http://111.12.110.7:6610/PLTV/77777777/224/3221225936/index.m3u8?
CCTV7,http://111.12.110.7:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV7,http://111.12.110.7:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV7,http://111.12.110.7:6610/PLTV/77777777/224/3221225892/index.m3u8?
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8?


内蒙古卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225751/index.m3u8?
黑龙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225734/index.m3u8?
黑龙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225955/index.m3u8?
黑龙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226019/index.m3u8?
兵团卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225795/index.m3u8?
甘肃卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225764/index.m3u8?
广西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225767/index.m3u8?
青海卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225705/index.m3u8?
厦门卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225823/index.m3u8?
山西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225785/index.m3u8?
陕西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225754/index.m3u8?

四川卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225757/index.m3u8?

西藏卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225828/index.m3u8?
云南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225794/index.m3u8?
安徽卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225701/index.m3u8?
安徽卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225886/index.m3u8?
安徽卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226034/index.m3u8?
北京卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225889/index.m3u8?
北京卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225907/index.m3u8?

东方卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225718/index.m3u8?
东方卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225942/index.m3u8?
东方卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226040/index.m3u8?
东南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225904/index.m3u8?

广东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225666/index.m3u8?
广东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225964/index.m3u8?
广东珠江,http://111.12.110.7:6610/PLTV/77777777/224/3221225717/index.m3u8?
广西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225986/index.m3u8?
贵州卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225770/index.m3u8?

海南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225752/index.m3u8?
河北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225773/index.m3u8?
河南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225806/index.m3u8?

湖北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225721/index.m3u8?
湖北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225954/index.m3u8?
湖北卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225969/index.m3u8?
湖南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225719/index.m3u8?
湖南卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225919/index.m3u8?
吉林卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225678/index.m3u8?
纪实人文,http://111.12.110.7:6610/PLTV/77777777/224/3221226016/index.m3u8?
纪实人文,http://111.12.110.7:6610/PLTV/77777777/224/3221226037/index.m3u8?
江苏卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225722/index.m3u8?
江苏卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225966/index.m3u8?
江苏卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226025/index.m3u8?
江西卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225957/index.m3u8?
辽宁卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225779/index.m3u8?
辽宁卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225958/index.m3u8?
辽宁卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226007/index.m3u8?
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
山东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225672/index.m3u8?
山东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225949/index.m3u8?
山东卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226010/index.m3u8?
深圳卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225725/index.m3u8?
深圳卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225943/index.m3u8?
深圳卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225951/index.m3u8?

天津卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225675/index.m3u8?
天津卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225940/index.m3u8?
天津卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221226022/index.m3u8?

西藏卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225800/index.m3u8?
新疆卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225788/index.m3u8?

浙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225731/index.m3u8?
浙江卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225928/index.m3u8?
重庆卫视,http://111.12.110.7:6610/PLTV/77777777/224/3221225745/index.m3u8?
